"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"2017","1","MOBILEGOFM","0","0","1","15","15","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","16","16","45","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","16","16","7","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","17","17","45","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","17","17","7","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","17","17","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","17","17","30","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","18","18","66","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","18","18","45","0","3","31","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","18","18","7","0","5","6","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","18","18","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","18","18","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","18","18","23","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","18","18","30","0","1","18","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","19","19","66","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","1","19","19","45","0","4","31","1","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEGOFM","0","0","1","19","19","7","0","2","21","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEGOFM","0","0","1","19","19","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEOTHER","0","0","1","19","19","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","1","MOBILEOTHER","0","0","1","19","19","23","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"2016","1","MOBILEOTHER","0","0","1","19","19","30","0","0","39","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","2","MOBILEGOFM","0","0","1","20","20","66","0","1","9","3","0","0","0","0","0","0","0","0","0","0","0"
