"GOFMFIXED1","GOFMFIXED2","GOFMMOBILE1","GOFMMOBILE2","OTHERFIXED1","OTHERFIXED2","OTHERMOBILE1","OTHERMOBILE2","YEAR","SEASON"
13437.5789354044,0,342.79,0,144,0,27925,0,1964,1
0,47334.0210645956,0,10257.87,0,0,0,103630,1964,2
12848.5215639177,0,9150.42,0,374,0,24101,0,1965,1
0,54899.0584360823,0,6154.28,0,0,0,18755,1965,2
8926.52312043543,0,5168.9,0,366,0,47193,0,1966,1
0,49487.0368795646,0,14113.56,0,0,0,95547,1966,2
5520.5522973909,0,9061,0,134,0,74092,0,1967,1
0,41731.4477026091,0,30359,0,0,0,144794,1967,2
5817.11766430245,0,11545.42,0,0,0,118036,0,1968,1
0,50858.7923356976,0,35745.47,0,0,0,255764,1968,2
7481.9809861241,0,6298.11,0,0,0,103895,0,1969,1
0,27167.9990138759,0,43506.64,0,0,0,208448,1969,2
5215.89582590714,0,2217.82,0,2,0,71650,0,1970,1
0,14167.6641740929,0,50973.67,0,0,0,177266,1970,2
2794.21349958771,0,4314.4,0,36,0,73762.57,0,1971,1
0,15017.4265004123,0,53605.66,0,0,0,196297.34,1971,2
13206.1228600878,0,9802.87,0,19.78,0,35505.71,0,1972,1
0,41467.1571399122,0,38947.31,0,0,0,141469.69,1972,2
2908.65007102486,0,10625.08,0,2,0,68446.02,0,1973,1
0,23617.7899289751,0,27087.91,0,0,0,140866,1973,2
856.086716089638,0,10538.38,0,28,0,45877.06,0,1974,1
0,25174.8232839104,0,38469.86,0,1,0,108577,1974,2
2359.25375454628,0,8333.39,0,105,0,30473.43,0,1975,1
0,40301.5862454537,0,29140.83,0,4,0,122741.11,1975,2
18331.309833545,0,14405.09,0,11,0,4940.25,0,1976,1
0,46464.890166455,0,20873.99,0,6,0,39512.22,1976,2
6302.61833908738,0,27578.97,0,14,0,3554.78,0,1977,1
0,40599.2516609126,0,25415.71,0,4,0,116,1977,2
1045.62266298724,0,16726.34,0,15,0,6730.04,0,1978,1
0,58089.3773370128,0,28834.61,0,1,0,131.57,1978,2
6120.65914971175,0,10280.1,0,108,0,2115,0,1979,1
0,78837.2408502882,0,21276.8,0,54,0,84,1979,2
1660.43762572686,0,14750.8,0,138,0,2817.9,0,1980,1
0,54050.2623742731,0,39541.5,0,2,0,10,1980,2
4633.61730399575,0,8208.3,0,47,0,1647.1,0,1981,1
0,73128.7826960043,0,16954.6,0,10,0,72.9,1981,2
872.866960052978,0,3667.03,0,43,0,1479.76,0,1982,1
0,40160.593039947,0,24184.56,0,0,0,3,1982,2
3785.58050254826,0,2612.29,0,1,0,49,0,1983,1
0,11454.9594974517,0,26690.07,0,2,0,18,1983,2
1165.5157397306,0,10877.15,0,8,0,47,0,1984,1
0,7981.6342602694,0,35257.45,0,14,0,7,1984,2
15584.0804690175,0,8193,0,8,0,186,0,1985,1
0,18307.8395309825,0,18803.39,0,0,0,134,1985,2
3640.26898139388,0,10034.43,0,27,0,583,0,1986,1
0,26337.5910186061,0,27477.14,0,0,0,5,1986,2
10944.4078422379,0,16059.5,0,6,0,411,0,1987,1
0,18355.2821577621,0,31462.97,0,0,0,38,1987,2
7859.09555623008,0,20284.6,0,14,0,524,0,1988,1
0,27933.9444437699,0,30195.8,0,212,0,15,1988,2
19805.916798061,0,21420.73,0,5,0,180,0,1989,1
0,26061.613201939,0,32356.81,0,0,0,124,1989,2
14507.7142716656,0,25191.55,0,3,0,495,0,1990,1
0,24921.0857283344,0,28846.13,0,16,0,204,1990,2
10431.1993320026,0,16599.53,0,12,0,8349.42,0,1991,1
0,16246.8506679974,0,49627.08,0,17,0,3456.31,1991,2
14839.8853429377,0,30658.3,0,6,0,10566.4,0,1992,1
0,20959.7146570623,0,47522.4,0,1,0,162.8,1992,2
13982.0302379672,0,11984.76,0,11.34,0,6549.6,0,1993,1
0,19858.3497620328,0,55982.03,0,8,0,76.24,1993,2
4233.70622286763,0,13491.07,0,15,0,2852,0,1994,1
0,18531.6537771324,0,46810.2,0,1,0,8,1994,2
0,0,15681.9,0,0,0,21109.1,0,1995,1
0,18253,0,67496.6,0,1,0,1891.3,1995,2
12922.2370204177,0,19977.01,0,22.24,0,20798.9,0,1996,1
0,3634.81297958233,0,64324.28,0,12.06,0,11640.73,1996,2
3141.30509934159,0,15708.47,0,15.48,0,19530.01,0,1997,1
0,17754.4649006584,0,74411.35,0,10.27,0,14079.44,1997,2
10606.4973108302,0,11054.43,0,10.5,0,29001.79,0,1998,1
0,14213.1326891698,0,39055.98,0,193.82,0,24578.73,1998,2
4836.29723709425,0,18276.59,0,6.36,0,26011.3,0,1999,1
0,14496.5427629058,0,59209.67,0,14.26,0,6645.95,1999,2
16426.5191493384,0,19549.32,0,2.4,0,22516.99,0,2000,1
0,456.380850661626,0,45507.89,0,12.44,0,21499.47,2000,2
4178.56223062875,0,20838.2,0,21.09,0,16566.21,0,2001,1
0,16069.7677693713,0,34479.76,0,5.5,0,48625.85,2001,2
2713.40295454545,0,17309.32,0,4.55,0,15489.2,0,2002,1
0,9195.79704545454,0,45268.19,0,15.35,0,15100.46,2002,2
9071.98063784644,0,13820.1,0,4.57,0,11502.92,0,2003,1
0,86.8393621535605,0,48081.27,0,10.96,0,28901.68,2003,2
12243.5230536913,0,15406.45,0,19.21,0,11730.16,0,2004,1
0,8524.91694630873,0,44738.28,0,9.15,0,22737.34,2004,2
3165.6193669696,0,12603.84,0,9.35,0,13311.9,0,2005,1
0,9953.2006330304,0,47098.95,0,5.56,0,20644.23,2005,2
117.541657978286,0,16402.76,0,2.16,0,18623.55,0,2006,1
0,13765.9783420217,0,46696.93,0,7.71,0,21247.38,2006,2
20153.7814198783,0,13243.58,0,0.99,0,20454.93,0,2007,1
0,11209.2685801217,0,35019.5,0,1.66,0,12378.51,2007,2
1145.33723207402,0,7270.19,0,3.12,0,25084.71,0,2008,1
0,5341.57276792598,0,38403.33,0,1.59,0,13878.91,2008,2
2372.83210576374,0,7406.28,0,1.16,0,26597.9,0,2009,1
0,1815.87789423626,0,39094.41,0,1.35,0,30288.82,2009,2
6796.79210405106,0,1638.13,0,0.6,0,19731.42,0,2010,1
0,5698.33789594894,0,25669.11,0,5.97,0,19863.79,2010,2
590.873736024148,0,2423.4178,0,137.3215,0,20869.3953,0,2011,1
0,3312.50416397585,0,28036.4347,0,256.656,0,30528.3981,2011,2
45.1588652627658,0,3965.9264,0,1.8741,0,32668.2805,0,2012,1
0,639.233734737234,0,19885.5561,0,0.3463,0,30469.0781,2012,2
812.993700680754,0,3374.9741,0,0.3026,0,31541.4944,0,2013,1
0,5697.74139931924,0,26447.5599,0,0.55,0,33746.524,2013,2
654.260388058978,0,2244.2039,0,364.9298,0,29952.4209,0,2014,1
0,1521.16281194102,0,30760.0696,0,142.0477,0,29593.6541,2014,2
51.757993659324,0,2781.0155,0,593.4437,0,29061.0755,0,2015,1
0,145.041006340676,0,26755.6702,0,113.7091,0,21847.6001,2015,2
