"Yr","Seas","Flt","Gender","Part","Nsamp","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
"2014","2","MOBILEGOFM","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","1","19","110","169","182","247","755","645","304","414","183","22","1","0","0","0","0","0","0","0","0","0","0","0"
"2016","2","MOBILEGOFM","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","3","28","125","117","96","145","217","119","224","638","630","155","11","1","0","0","0","0","0","0","0","0","0","0"
"2015","2","MOBILEGOFM","0","0","48","0","0","0","0","0","0","0","0","0","0","1","0","1","28","148","181","107","49","39","80","171","543","561","319","63","5","1","0","0","0","0","0","0","0","0","0","0"
"2012","2","MOBILEGOFM","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","16","75","184","235","182","118","152","544","552","185","31","19","10","7","1","0","0","0","0","0","0","0","0","0","0"
"2013","2","MOBILEGOFM","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","2","17","40","79","127","171","156","78","378","637","169","23","22","5","1","0","0","0","0","0","0","0","0","0","0"
"2010","2","MOBILEGOFM","0","0","44","0","0","0","0","0","0","0","0","0","0","0","0","21","91","252","308","200","80","65","124","131","256","356","320","124","51","11","0","0","0","0","0","0","0","0","0","0"
"2011","2","MOBILEGOFM","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","13","62","177","373","800","901","420","172","90","64","38","16","6","2","0","0","0","0","0","0","0","0","0","0"
"1966","2","MOBILEGOFM","0","0","19","0","0","0","0","0","0","0","0","0","0","0","11","54","45","34","26","62","100","144","150","122","64","13","7","15","33","9","18","7","1","0","0","0","0","0","0","0"
"1977","2","MOBILEGOFM","0","0","31","0","0","0","0","0","0","0","1","28","127","86","13","66","182","251","187","184","136","70","40","39","86","127","209","202","249","287","155","57","14","2","0","0","0","0","0","0"
"1976","2","MOBILEGOFM","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","17","41","120","257","531","562","546","650","874","509","179","60","17","11","2","1","0","0","0","0"
"1982","2","MOBILEGOFM","0","0","90","0","0","0","0","0","0","0","4","9","5","3","5","76","194","290","308","241","152","79","80","172","314","419","302","331","914","791","438","142","57","33","5","5","0","0","0","0"
"1981","2","MOBILEGOFM","0","0","48","0","0","0","0","0","0","0","0","0","0","1","5","20","67","57","42","43","14","7","13","32","97","274","603","742","627","218","83","62","22","9","6","1","0","0","0","0"
"1993","2","MOBILEGOFM","0","0","82","0","0","0","0","0","0","0","0","0","0","0","2","6","30","133","137","97","79","222","418","394","463","714","591","411","256","192","95","27","9","1","0","0","0","0","0","0"
"1974","2","MOBILEGOFM","0","0","61","0","0","0","0","20","42","53","55","43","48","112","211","338","456","465","385","353","391","367","330","424","639","1049","2761","1702","720","262","203","195","144","51","12","0","0","0","0","0"
"2006","2","MOBILEGOFM","0","0","65","0","0","0","0","0","0","0","0","0","0","0","0","1","9","53","156","250","393","575","444","343","485","423","293","177","56","13","2","0","0","0","0","0","0","0","0","0"
"1992","2","MOBILEGOFM","0","0","89","0","0","0","0","0","0","0","0","0","0","0","0","0","36","84","141","292","300","308","517","630","703","771","776","669","651","253","121","34","9","0","0","0","0","0","0","0"
"1964","2","MOBILEGOFM","0","0","16","0","0","0","0","0","2","27","37","41","74","58","22","89","140","164","128","77","49","15","11","16","41","60","20","7","3","9","1","1","0","0","0","0","0","0","0","0"
"1983","2","MOBILEGOFM","0","0","118","0","0","0","0","0","0","0","0","1","4","43","62","50","135","228","288","402","410","430","353","350","501","488","490","497","592","372","475","346","102","34","9","3","0","0","0","0"
"1984","2","MOBILEGOFM","0","0","112","0","0","0","0","0","0","0","1","0","0","0","1","8","72","215","292","351","330","258","257","456","900","868","655","490","386","242","151","120","62","23","5","1","1","0","0","0"
"1969","2","MOBILEGOFM","0","0","18","0","0","0","0","0","0","1","28","21","4","8","32","27","41","43","39","45","29","75","107","121","68","9","7","1","2","1","0","0","0","0","0","0","0","0","0","0"
"1970","2","MOBILEGOFM","0","0","26","5","5","84","2","6","70","314","232","74","42","215","222","319","231","224","608","816","540","674","583","489","661","698","1024","519","438","435","500","270","149","56","39","2","0","0","0","0"
"1985","2","MOBILEGOFM","0","0","67","0","0","0","0","0","0","4","5","1","0","22","16","53","179","211","175","126","107","76","74","102","208","291","449","819","1268","268","82","59","27","16","0","0","0","0","0","0"
"1988","2","MOBILEGOFM","0","0","45","0","0","0","0","0","0","0","0","0","0","4","0","14","67","95","81","156","165","199","196","269","410","452","563","433","238","103","45","9","1","0","0","0","0","0","0","0"
"1986","2","MOBILEGOFM","0","0","39","0","0","0","0","0","0","0","0","0","0","0","5","42","96","120","171","140","136","149","222","298","239","192","124","66","110","93","32","12","2","1","0","0","0","0","0","0"
"1975","2","MOBILEGOFM","0","0","59","0","0","0","0","0","0","0","0","1","25","68","28","5","8","36","33","55","64","44","37","39","94","148","285","665","1443","340","170","66","27","19","6","0","1","0","0","0"
"1965","2","MOBILEGOFM","0","0","10","0","0","0","0","0","0","0","0","0","1","8","53","88","92","74","29","20","29","31","15","11","7","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0"
"1991","2","MOBILEGOFM","0","0","59","0","0","0","0","0","0","0","0","0","0","0","0","0","3","35","97","183","238","271","296","342","369","432","459","367","403","197","85","32","8","1","0","0","0","0","0","0"
"1990","2","MOBILEGOFM","0","0","66","0","0","0","0","0","1","0","0","0","0","0","2","11","36","82","112","188","229","336","432","511","385","348","325","243","268","129","106","31","3","2","0","0","0","0","0","0"
"1989","2","MOBILEGOFM","0","0","53","0","0","0","0","0","0","0","0","0","0","0","4","14","25","23","43","94","119","161","198","264","249","219","297","355","589","402","250","76","17","1","0","0","0","0","0","0"
"1967","2","MOBILEGOFM","0","0","22","0","0","0","0","0","0","0","0","0","0","4","22","30","105","85","60","76","65","87","96","92","69","34","23","19","12","12","6","6","2","0","0","0","0","0","0","0"
"1987","2","MOBILEGOFM","0","0","46","0","0","0","0","0","0","0","0","1","1","1","0","0","4","45","52","130","182","232","272","326","350","422","372","255","123","75","42","8","1","0","0","0","0","0","0","0"
"1971","2","MOBILEGOFM","0","0","17","0","0","0","0","0","40","516","270","160","159","106","190","330","123","13","20","35","52","55","20","21","39","87","122","178","171","157","156","100","37","10","0","0","0","0","0","0"
"1972","2","MOBILEGOFM","0","0","53","0","0","0","0","0","0","4","5","4","6","12","43","125","160","128","183","344","330","240","187","135","199","304","430","752","803","749","694","303","110","38","1","1","1","0","0","0"
"1968","2","MOBILEGOFM","0","0","8","0","0","0","0","0","0","0","0","1","3","4","11","51","95","83","41","38","27","18","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","2","MOBILEGOFM","0","0","55","0","0","0","0","0","0","0","0","0","0","0","0","12","61","21","9","15","25","53","72","138","397","530","510","588","801","495","351","200","103","20","7","3","0","0","0","0"
"1980","2","MOBILEGOFM","0","0","138","0","0","0","0","0","0","0","1","6","0","0","0","5","95","268","421","390","510","684","859","778","737","530","658","598","491","242","157","124","62","22","6","0","0","0","0","0"
"1973","2","MOBILEGOFM","0","0","41","0","0","0","0","0","8","48","48","150","182","218","226","219","243","473","869","980","971","718","558","505","408","203","94","37","39","75","74","92","48","29","1","0","1","0","0","0"
"2003","2","MOBILEGOFM","0","0","69","0","0","0","0","0","0","0","0","0","1","2","1","13","89","291","360","390","302","266","296","229","228","374","363","198","70","12","1","0","0","0","0","0","0","0","0","0"
"1978","2","MOBILEGOFM","0","0","197","0","0","0","0","0","0","0","0","0","0","6","61","134","318","376","482","497","389","328","337","521","728","695","494","576","1086","900","905","603","128","43","8","2","0","0","0","0"
"2005","2","MOBILEGOFM","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","2","28","107","148","114","376","968","656","320","460","484","287","234","78","7","2","0","0","0","0","0","0","0","0","0"
"2007","2","MOBILEGOFM","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","5","19","76","155","217","261","202","293","330","430","521","450","221","55","10","1","0","0","0","0","0","0","0","0","0"
