"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43"
"1973","1","food","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","4","1","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1974","1","food","0","0","5","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","0","1","0","1","2","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","1","food","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","1","food","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0"
"1978","1","food","0","0","7","0","0","0","0","0","0","0","1","1","2","3","1","0","0","1","1","0","3","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1979","1","food","0","0","12","0","0","1","0","0","0","0","1","3","1","0","1","0","1","0","2","1","1","2","0","3","2","1","1","2","1","0","0","0","0","0","0","0","0","0","0","0"
"1980","1","food","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1981","1","food","0","0","5","0","0","0","0","0","0","0","0","0","1","0","1","1","2","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"1982","1","food","0","0","7","1","0","0","0","0","0","0","1","1","1","0","2","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1983","1","food","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","1","food","0","0","4","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","7","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","1","food","0","0","10","0","1","0","1","1","3","1","2","0","1","0","0","1","2","0","3","0","0","0","1","2","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0"
"1986","1","food","0","0","16","2","1","1","0","0","0","1","2","0","0","3","2","1","0","2","3","1","2","3","2","3","0","6","0","0","2","0","2","0","0","0","0","0","0","0","0","0"
"1987","1","food","0","0","24","7","17","4","0","0","0","1","0","0","2","0","0","0","1","1","1","2","4","1","1","7","3","8","5","2","2","1","1","0","1","0","0","0","0","0","0","0"
"1988","1","food","0","0","27","3","0","0","0","0","1","0","0","1","1","4","0","1","5","2","0","1","6","0","1","0","3","7","9","7","7","1","3","1","3","0","0","1","0","0","0","0"
"1989","1","food","0","0","38","0","0","0","0","0","0","0","0","0","4","2","5","4","5","1","2","4","4","2","4","3","3","9","5","2","6","4","7","3","1","1","0","0","0","0","0","0"
"1990","1","food","0","0","32","0","0","0","0","0","1","1","0","1","2","0","0","4","2","5","5","2","11","3","7","6","12","15","14","6","7","8","6","3","1","0","0","0","0","0","0","0"
"1991","1","food","0","0","69","9","0","2","13","15","4","0","2","1","6","2","2","1","2","6","5","2","10","11","13","4","12","10","9","6","9","2","2","1","1","1","0","0","0","0","0","0"
"1992","1","food","0","0","97","4","2","0","3","1","1","0","0","1","5","3","9","2","7","4","13","8","18","13","13","19","20","8","29","8","13","5","9","1","1","0","0","0","0","0","0","0"
"1993","1","food","0","0","108","5","6","6","8","5","5","2","1","0","1","3","2","1","6","9","10","2","12","13","18","19","42","31","29","14","20","8","4","1","1","0","0","0","0","1","0","0"
"1994","1","food","0","0","81","5","2","0","6","6","7","1","0","1","2","0","5","4","7","4","12","6","5","10","15","7","18","13","10","6","7","0","3","2","0","0","0","0","0","0","0","0"
"1995","1","food","0","0","97","14","9","4","6","3","6","8","16","23","23","24","12","8","12","9","12","5","10","5","6","9","18","12","15","5","13","3","1","0","0","1","1","0","0","0","0","1"
"1996","1","food","0","0","61","6","6","0","0","0","0","0","2","2","2","3","7","9","31","6","14","9","11","6","8","8","16","10","16","9","8","5","2","0","0","0","1","1","0","0","0","0"
"1997","1","food","0","0","57","3","0","0","0","0","0","1","0","0","3","0","1","1","0","8","5","10","10","22","13","10","13","8","5","5","7","4","3","0","0","0","0","0","0","1","0","0"
"1998","1","food","0","0","63","8","1","0","0","0","0","0","0","0","1","1","2","1","5","3","9","5","25","11","19","23","31","21","20","8","12","2","1","0","0","0","0","0","0","0","0","0"
"1999","1","food","0","0","83","15","3","0","1","0","0","0","0","0","0","0","3","4","2","5","7","3","12","11","9","18","13","10","15","8","2","2","5","0","0","0","0","0","0","0","0","1"
"2000","1","food","0","0","55","1","0","0","0","0","0","0","0","2","2","2","5","6","10","7","1","1","4","4","14","8","7","16","10","9","4","1","1","1","0","0","0","0","0","0","0","0"
"2001","1","food","0","0","49","3","0","0","0","0","0","0","0","0","1","1","4","0","4","0","4","6","15","6","13","12","7","11","11","2","3","2","0","0","0","0","0","0","0","0","0","0"
"2002","1","food","0","0","51","0","1","1","2","1","0","0","3","1","4","1","3","4","0","4","0","2","4","4","10","13","11","12","17","7","6","0","1","0","0","0","0","0","0","1","0","0"
"2003","1","food","0","0","28","0","0","0","0","0","0","0","0","0","1","1","1","5","2","1","4","1","6","1","1","0","4","3","6","1","5","1","0","0","1","0","0","0","0","0","1","0"
"2004","1","food","0","0","29","0","0","0","0","1","0","0","0","0","0","0","0","3","4","2","1","5","5","1","4","3","1","5","6","1","0","2","2","0","0","0","0","0","0","0","0","0"
"2005","1","food","0","0","30","0","0","0","0","0","0","0","0","0","1","0","3","1","5","2","5","2","5","3","3","0","1","7","2","0","4","0","2","0","0","0","0","0","0","0","0","0"
"2006","1","food","0","0","15","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","2","0","4","0","6","3","5","3","3","0","0","0","0","0","0","0","0","0","0","0"
"2007","1","food","0","0","32","0","0","1","0","0","0","0","0","0","0","0","2","1","5","2","0","4","7","0","3","1","5","6","4","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2008","1","food","0","0","26","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","2","5","6","5","9","5","3","3","3","0","2","0","0","0","0","1","0","0","0","0"
"2009","1","food","0","0","22","0","0","0","0","0","0","1","1","0","2","3","1","0","2","0","1","0","2","1","2","3","3","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0"
"2010","1","food","0","0","17","0","0","0","0","0","0","0","0","0","1","3","2","1","2","2","1","2","1","1","2","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0"
"2011","1","food","0","0","24","0","0","0","0","0","1","0","0","0","1","0","1","1","3","2","11","8","11","3","3","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2012","1","food","0","0","37","1","0","1","19","17","18","0","0","0","1","3","0","0","2","1","3","0","2","2","14","5","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2013","1","food","0","0","28","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","2","2","5","7","13","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2014","1","food","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2015","1","food","0","0","18","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","0","1","1","4","4","3","3","0","2","1","0","0","0","0","0","0","0","0","0","0"
"2016","1","food","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
