"Yr","Seas","Flt","obs","err"
1983,1,13,2.038878,0.239596625488198
1985,1,13,0.259583,0.687184835427591
1986,1,13,0.629918,0.31646514678786
1987,1,13,8.119063,0.25344537803949
1988,1,13,25.441409,0.4396340895018
1989,1,13,8.927014,0.230770563506508
1990,1,13,16.773492,0.230024374693057
1991,1,13,13.97715,0.212147431650198
1992,1,13,8.962585,0.250333775657191
1993,1,13,13.534548,0.172899433030086
1994,1,13,20.769883,0.220219423728695
1995,1,13,75.421159,0.363869111884504
1996,1,13,40.229518,0.280899872753668
1997,1,13,15.998608,0.207538877407641
1998,1,13,45.985872,0.224977519178553
1999,1,13,41.078094,0.297894912350201
2000,1,13,8.171686,0.244651139709394
2001,1,13,24.277015,0.240386418214067
2002,1,13,30.220389,0.212676311762039
2003,1,13,48.29894,0.200336693132036
2004,1,13,30.626564,0.224836292067842
2005,1,13,33.949895,0.15926899322696
2006,1,13,25.506854,0.418725009427341
2007,1,13,24.589212,0.250285857050284
2008,1,13,9.608441,0.171504106901065
2009,1,13,5.896998,0.217735343067148
2010,1,13,19.889674,0.318556254528774
2011,1,13,23.58778,0.361346475420029
2012,1,13,22.701275,0.285046122406724
2013,1,13,8.967365,0.431045293310208
2014,1,13,8.778524,0.296817047314497
2015,1,13,37.409394,0.191314315975388
2016,1,13,5.351181,0.364098998973931
2017,1,13,3.406061,0.260074906349031
1968,1,10,45.370357,0.456490161388525
1969,1,10,19.379927,0.481529728473343
1970,1,10,15.519756,0.406002385523439
1971,1,10,1.921709,0.410100369526435
1972,1,10,4.4032,0.311986325502739
1973,1,10,8.710229,0.337547877928654
1974,1,10,9.647982,0.341826469815896
1975,1,10,1.506766,0.581102122588614
1976,1,10,1.352096,0.275957682138497
1977,1,10,1.54659,0.501257071177917
1978,1,10,5.491128,0.426840373801053
1979,1,10,5.351227,0.448043492171672
1980,1,10,7.569301,0.237399223252868
1981,1,10,3.8201,0.402730778877054
1982,1,10,0.155872,0.552446278878472
1983,1,10,0.356683,0.488445674292562
1984,1,10,1.240201,0.406740243355854
1985,1,10,4.354645,0.336843273277547
1986,1,10,67.825165,0.544908472544571
1987,1,10,6.807334,0.326992191756085
1988,1,10,20.874328,0.282188829020667
1989,1,10,5.867715,0.297229214342201
1990,1,10,7.620764,0.245236972142341
1991,1,10,25.936128,0.273758197552605
1992,1,10,62.176361,0.29816291789829
1993,1,10,114.052066,0.377774615849903
1994,1,10,53.604293,0.247448995472245
1995,1,10,30.875917,0.209203660409203
1996,1,10,93.736969,0.452553956666782
1997,1,10,64.594086,0.226800774257856
1998,1,10,80.446398,0.34940452934606
1999,1,10,137.879946,0.229520169524066
2000,1,10,43.585143,0.298420132739537
2001,1,10,51.207111,0.235093521567244
2002,1,10,65.146237,0.372978598117197
2003,1,10,28.48588,0.372407488318775
2004,1,10,36.638804,0.262585802819191
2005,1,10,33.441035,0.31862359378339
2006,1,10,50.008198,0.390413269567298
2007,1,10,14.97488,0.334703382365442
2008,1,10,32.466103,0.412128415777343
2009,1,10,127.448812,0.317759801070273
2010,1,10,547.249258,0.261204031157104
2011,1,10,621.228478,0.316994882337267
2012,1,10,112.358366,0.224217819773251
2013,1,10,274.270255,0.302785628862595
2014,1,10,222.922262,0.283817011028532
2015,1,10,73.657176,0.319510222313885
2016,1,10,44.606024,0.632223991903625
2017,1,10,46.428572,0.196044319084809
1968,1,9,2.235216,0.509938176435839
1969,1,9,0.362444,0.352609126590662
1970,1,9,0.801664,0.440760857205014
1971,1,9,0.30081,0.404059624617564
1972,1,9,0.51455,0.260306934336361
1973,1,9,7.221271,0.540452151744108
1974,1,9,0.587503,0.36440790340637
1975,1,9,1.248892,0.316635156052746
1976,1,9,0.869411,0.288040976546313
1977,1,9,0.781348,0.547076260271136
1978,1,9,0.338572,0.420549432877908
1979,1,9,9.562633,0.605496877576395
1980,1,9,8.281791,0.588058353914093
1981,1,9,0.384307,0.310300285136849
1982,1,9,1.714523,0.581012395197296
1983,1,9,0.731737,0.441628326621769
1984,1,9,7.544792,0.468925363520209
1985,1,9,6.102873,0.331622003870201
1986,1,9,2.067469,0.418234517675438
1987,1,9,5.133612,0.634199602490741
1988,1,9,10.291275,0.612267394184602
1989,1,9,14.049117,0.724501086890128
1990,1,9,12.147697,0.420371112931685
1991,1,9,16.08995,0.272820355059761
1992,1,9,11.97361,0.294641265808277
1993,1,9,19.978152,0.394707562273266
1994,1,9,9.423886,0.541415710891674
1995,1,9,22.984331,0.559569062247529
1996,1,9,12.293472,0.405713666340349
1997,1,9,69.03174,0.642618226176123
1998,1,9,13.043617,0.246928739497039
1999,1,9,6.480162,0.62933316861271
2000,1,9,33.734747,0.491451760897148
2001,1,9,22.156936,0.523423567091779
2002,1,9,29.188712,0.588939516426767
2003,1,9,5.698606,0.291343522548342
2004,1,9,82.614233,0.722894467723964
2005,1,9,0.784706,0.536168350299523
2006,1,9,1.448547,0.478574955237053
2007,1,9,6.748159,0.275026940534724
2008,1,9,3.671692,0.235731306408996
2009,1,9,40.708098,0.360442403596599
2010,1,9,60.727739,0.223656676296659
2011,1,9,46.688859,0.151730250910224
2012,1,9,121.975137,0.546896502378642
2013,1,9,119.738673,0.405496974554751
2014,1,9,18.391027,0.171363527395008
2015,1,9,45.10812,0.326066276954385
2016,1,9,126.060383,0.670772875112466
2017,1,9,51.41109,0.539460269212786
1963,2,12,3.390695,0.430655020932034
1964,2,12,0.62385,0.311950863292977
1965,2,12,4.077439,0.268238972440349
1966,2,12,9.162906,0.214624333818915
1967,2,12,3.053328,0.256966246230273
1968,2,12,0.979423,0.183080644765733
1969,2,12,0.492249,0.295124548364238
1970,2,12,0.259575,0.280163663704337
1971,2,12,0.872922,0.513555561944758
1972,2,12,0.449811,0.42220225100891
1973,2,12,0.056647,0.545683584579424
1974,2,12,0.095602,0.516352979953835
1975,2,12,0.004221,0.832554611157698
1976,2,12,0.005627,0.832554611157698
1977,2,12,0.023192,0.475547481229119
1978,2,12,0.397214,0.233836605571579
1979,2,12,0.003465,0.832554611157698
1981,2,12,0.00249,0.832554611157698
1982,2,12,0.116632,0.428483200459827
1983,2,12,0.065347,0.554986970296445
1984,2,12,0.226126,0.740750036616824
