"Yr","Seas","Flt","obs","err"
1973,1,"food",0.125380195,0.95
1974,1,"food",0.185696186,0.95
1975,1,"food",0.141717165,0.95
1976,1,"food",0.073453251,0.95
1977,1,"food",0.012712141,0.95
1978,1,"food",0.128654979,0.95
1979,1,"food",0.148924377,0.95
1980,1,"food",0.033274906,0.95
1981,1,"food",0.05564137,0.95
1982,1,"food",0.051137781,0.95
1983,1,"food",0.021212038,0.95
1984,1,"food",0.09764418,0.95
1985,1,"food",0.065781486,0.95
1986,1,"food",0.114243451,0.95
1987,1,"food",0.178723275,0.95
1988,1,"food",0.205713935,0.95
1989,1,"food",0.187871444,0.95
1990,1,"food",0.318050395,0.95
1991,1,"food",0.365864834,0.937
1992,1,"food",0.336460191,0.95
1993,1,"food",0.43259533,0.804
1994,1,"food",0.374906643,0.944
1995,1,"food",0.458384603,0.747
1996,1,"food",0.508064344,0.674
1997,1,"food",0.49981674,0.689
1998,1,"food",0.470327927,0.731
1999,1,"food",0.557251595,0.624
2000,1,"food",0.633650678,0.545
2001,1,"food",0.518994285,0.674
2002,1,"food",0.465932962,0.757
2003,1,"food",0.271000511,0.95
2004,1,"food",0.485155901,0.741
2005,1,"food",0.293027088,0.95
2006,1,"food",0.300467375,0.95
2007,1,"food",0.293204378,0.95
2008,1,"food",0.456231593,0.797
2009,1,"food",0.291006745,0.95
2010,1,"food",0.303426169,0.95
2011,1,"food",0.381010241,0.933
2012,1,"food",0.557001459,0.617
2013,1,"food",0.4777828,0.745
2014,1,"food",0.316547239,0.95
2015,1,"food",0.375501693,0.95
2016,1,"food",0.281445813,0.95
