"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
2003,1,10,0,0,1,6,6,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,12,12,109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,13,13,109,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,13,13,109,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,14,14,109,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,14,14,109,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,15,15,109,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,15,15,109,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,16,16,109,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,16,16,109,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,17,17,109,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,17,17,109,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,18,18,109,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,18,18,109,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,19,19,109,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,19,19,109,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,20,20,109,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,20,20,109,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,21,21,109,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,21,21,109,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,22,22,109,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,22,22,109,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,23,23,109,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,23,23,109,0,0,3,8,5,0,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,24,24,109,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,24,24,109,0,0,0,6,20,1,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,25,25,109,0,0,0,2,10,7,1,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,25,25,109,0,0,0,4,41,4,3,0,0,0,0,0,0,0,0
1996,1,10,0,0,1,26,26,109,0,0,0,0,7,14,4,0,0,0,0,0,0,0,0
2003,1,10,0,0,1,26,26,109,0,0,0,3,34,19,12,2,0,0,0,0,0,0,0
1996,1,10,0,0,1,27,27,109,0,0,0,0,1,14,6,2,0,0,0,0,0,0,0
2003,1,10,0,0,1,27,27,109,0,0,0,1,7,19,36,12,0,0,0,0,0,0,0
1996,1,10,0,0,1,28,28,109,0,0,0,0,0,9,12,1,0,0,0,0,0,0,0
2003,1,10,0,0,1,28,28,109,0,0,0,0,1,8,23,13,3,0,0,0,0,0,0
1996,1,10,0,0,1,29,29,109,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0
2003,1,10,0,0,1,29,29,109,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
1996,1,10,0,0,1,30,30,109,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
1996,1,10,0,0,1,31,31,109,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
