"Yr","Seas","Flt","Gender","Part","Nsamp","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39"
1968,1,9,0,0,50,0,0,0,0,0,0,0,0,1,36,47,20,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1969,1,9,0,0,51,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,1,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0
1970,1,9,0,0,52,0,0,0,0,0,0,0,1,7,8,3,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1971,1,9,0,0,57,0,0,0,0,0,0,3,1,7,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1972,1,9,0,0,55,0,0,0,0,4,2,9,6,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,0
1973,1,9,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,11,13,27,25,35,122,132,110,90,31,16,5,2,0,0,0,0,0
1974,1,9,0,0,47,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,8,5,3,0,2,0,0,0,0,0,0,0,1,0,0
1975,1,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,2,1,1,1,15,43,25,5,1,0,0,0,0,0,0,0,0,0
1976,1,9,0,0,64,0,0,0,0,0,0,0,4,1,8,7,1,2,4,4,1,0,0,6,8,5,2,3,7,40,34,20,3,2,1,0,0,0,0,0,0,0
1977,1,9,0,0,67,0,1,0,0,1,0,0,0,0,2,0,4,2,1,1,0,0,0,1,0,0,3,6,14,18,34,33,10,1,2,0,0,0,0,1,0,0
1978,1,9,0,0,66,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,2,0,1,0,0,0,1,1,1,1,3,5,6,1,0,0,0,0,0,0,0
1979,1,9,0,0,72,0,0,0,0,0,42,57,455,1305,928,524,74,1,7,30,45,47,25,23,0,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
1980,1,9,0,0,50,0,0,0,0,0,0,0,0,1,7,12,13,8,8,26,44,113,72,62,85,70,115,125,65,37,66,16,18,22,0,0,0,0,0,0,0,0
1981,1,9,0,0,52,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3,0,0,0,1,0,0,2,2,11,10,6,2,1,2,0,0,0,0,0,0,0,0
1982,1,9,0,0,53,0,0,0,0,0,0,0,3,13,22,44,50,21,13,4,0,0,4,6,11,7,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0
1983,1,9,0,0,53,0,0,0,0,0,0,0,1,2,9,14,5,6,4,1,4,2,1,2,2,3,6,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0
1984,1,9,0,0,50,0,0,0,0,0,0,0,30,167,247,106,32,15,12,7,10,7,6,2,2,4,2,5,4,3,7,2,1,0,0,0,0,0,0,0,0,0
1985,1,9,0,0,47,0,0,0,0,0,1,44,119,53,32,8,25,23,16,3,3,0,1,0,2,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
1986,1,9,0,0,52,0,1,0,0,0,0,1,21,4,8,10,1,1,5,1,0,0,4,10,20,21,11,2,16,5,12,13,3,1,1,0,1,0,0,0,0,0
1987,1,9,0,0,47,0,0,0,0,0,0,0,5,32,11,3,23,47,56,71,56,55,36,13,17,5,4,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1988,1,9,0,0,54,0,0,0,0,2,0,0,3,11,45,36,233,225,148,74,29,80,50,25,5,3,3,14,16,29,6,10,12,1,0,0,0,0,0,0,0,0
1989,1,9,0,0,51,0,0,0,0,0,2,7,21,14,14,9,16,8,3,6,4,15,18,12,1,3,24,145,504,543,482,279,146,20,0,0,0,0,0,0,0,0
1990,1,9,0,0,52,0,0,0,0,0,5,20,64,169,201,232,191,166,91,36,45,39,26,31,29,42,71,139,125,123,70,59,11,22,0,0,0,0,0,0,0,0
1991,1,9,0,0,50,0,1,11,0,0,4,16,42,257,280,223,213,133,54,61,53,42,42,19,9,4,6,5,16,14,21,20,17,15,3,1,0,0,0,0,0,0
1992,1,9,0,0,52,0,0,0,0,0,0,2,71,243,189,70,36,14,2,12,21,21,1,3,4,31,38,67,72,44,18,17,10,4,0,0,0,0,0,0,0,0
1993,1,9,0,0,50,0,0,0,0,0,0,0,0,4,114,245,185,24,16,3,13,33,40,25,13,45,113,167,148,100,81,43,11,10,3,0,0,0,0,0,0,0
1994,1,9,0,0,53,0,0,0,0,1,1,18,59,60,56,212,119,66,98,87,7,23,26,8,0,18,11,55,45,23,14,2,4,0,1,0,0,1,0,0,0,0
1995,1,9,0,0,53,0,0,0,0,0,15,0,1,244,375,591,672,359,109,16,21,36,67,22,1,2,14,14,35,24,19,4,3,1,0,0,0,0,0,0,0,0
1996,1,9,0,0,52,0,0,0,0,0,0,0,7,89,433,376,180,56,5,0,1,0,1,1,0,0,1,0,4,1,0,1,2,0,0,0,0,0,0,0,0,0
1997,1,9,0,0,53,0,0,48,58,33,0,138,357,1394,2110,2143,1213,246,4,29,44,42,38,8,7,1,2,2,0,5,4,1,1,0,0,0,0,0,0,0,0,0
1998,1,9,0,0,75,0,0,0,0,0,0,19,58,180,198,90,115,153,135,61,50,51,46,28,16,39,18,7,22,17,10,4,1,0,0,0,0,0,0,0,0,0
1999,1,9,0,0,52,0,0,0,0,8,0,0,6,13,178,197,112,26,22,10,4,27,10,3,3,4,7,18,8,10,9,1,2,0,0,0,0,0,0,0,0,0
2000,1,9,0,0,52,0,0,0,0,0,0,5,6,35,46,20,22,40,50,64,60,28,32,70,124,105,142,150,219,90,40,4,0,0,0,0,0,0,0,0,0,0
2001,1,9,0,0,52,0,0,0,0,0,0,0,18,24,103,108,216,537,214,40,2,21,29,43,42,30,13,33,109,195,100,47,43,9,4,0,0,0,0,0,0,0
2002,1,9,0,0,55,0,0,0,0,3,16,25,24,0,0,119,858,950,399,91,141,128,116,66,1,27,76,91,61,58,41,9,5,0,0,0,0,0,0,0,0,0
2003,1,9,0,0,52,0,0,0,0,2,1,5,5,10,79,328,193,69,25,5,4,0,0,1,0,0,2,1,3,10,5,0,0,0,0,0,0,0,0,0,0,0
2004,1,9,0,0,50,0,0,0,0,0,0,0,0,0,36,950,2302,1536,438,348,279,31,9,70,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2005,1,9,0,0,51,0,0,0,0,0,0,0,1,0,12,9,14,6,1,3,3,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2006,1,9,0,0,59,0,0,1,2,0,0,0,0,0,1,4,28,26,20,5,8,2,1,0,2,1,5,2,7,6,4,0,0,0,0,0,0,0,0,0,0,0
2007,1,9,0,0,50,0,0,0,0,0,0,2,0,20,83,87,80,67,44,33,14,3,2,0,0,2,1,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0
2008,1,9,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,13,26,28,21,15,36,34,25,6,2,0,0,0,0,0,0,0,0,0
1968,1,10,0,0,122,0,0,0,0,0,0,3,7,16,36,67,37,39,79,132,247,279,255,223,184,174,155,200,206,251,262,155,166,68,44,5,5,0,0,0,0,0
1969,1,10,0,0,132,0,0,0,0,0,0,0,0,2,2,11,2,5,19,36,52,49,20,19,22,17,56,60,96,217,274,360,269,64,21,17,1,0,2,0,0,0
1970,1,10,0,0,137,0,0,0,0,0,0,5,6,2,25,97,405,246,123,12,18,36,41,56,95,107,97,95,66,34,34,31,43,20,6,0,0,0,0,0,0,0
1971,1,10,0,0,137,0,0,0,0,0,0,0,0,1,2,4,11,10,8,3,5,24,29,43,34,16,13,13,9,8,2,5,2,4,1,1,1,1,0,0,0,0
1972,1,10,0,0,141,0,0,0,0,0,0,2,1,1,0,23,84,88,74,41,21,6,11,18,39,42,43,42,45,24,8,2,0,1,0,0,0,0,0,0,0,0
1973,1,10,0,0,150,0,0,0,0,0,0,0,0,0,1,3,10,4,10,12,24,64,192,329,519,375,118,20,18,26,40,39,11,3,4,1,1,0,0,0,0,0
1974,1,10,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,6,33,311,463,257,92,24,0,3,4,0,0,0,0,0,0,0,0
1975,1,10,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,1,2,2,0,2,37,88,45,5,3,0,0,0,0,0,0,0,0,0
1976,1,10,0,0,130,0,0,46,0,0,0,0,0,0,0,0,0,1,0,6,0,4,8,16,19,9,2,5,3,30,36,28,3,2,0,0,0,0,0,0,0,0
1977,1,10,0,0,130,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,4,18,24,17,34,25,7,14,11,6,0,0,0,0,0,0,0,0,0
1978,1,10,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,12,14,11,7,23,146,139,106,47,21,19,15,22,13,14,11,3,1,0,0,0,0,0,0,0
1979,1,10,0,0,150,0,0,0,0,0,0,0,0,0,0,0,1,11,10,4,4,3,8,28,49,140,190,167,346,252,210,161,41,22,4,0,0,0,0,0,0,0
1980,1,10,0,0,150,0,0,0,0,0,0,0,4,0,0,4,2,2,5,11,38,105,175,394,454,299,394,316,148,53,29,20,9,3,2,0,0,1,0,0,0,0
1981,1,10,0,0,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,7,74,150,159,120,69,28,18,5,1,0,0,0,0,0,0,0
1982,1,10,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,9,4,1,0,0,0,0,0,0,0,0,0
1983,1,10,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,4,3,8,6,8,1,0,0,0,0,0,0,0,0
1984,1,10,0,0,128,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,0,14,11,18,35,52,39,30,17,12,5,5,0,0,0,0,0,0,0,0,0
1985,1,10,0,0,121,0,1,0,0,0,0,0,0,0,0,0,1,5,35,53,34,43,51,30,23,16,7,31,83,72,15,4,3,2,3,0,0,0,0,0,0,0
1986,1,10,0,0,128,1,21,2,0,0,0,0,0,0,1,0,1,0,36,41,485,1146,1326,1108,839,697,290,70,38,80,125,66,6,1,0,0,0,0,0,0,0,0
1987,1,10,0,0,128,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,3,27,45,76,66,106,167,111,38,9,11,9,1,0,0,0,0,0,0,0,0
1988,1,10,0,0,114,0,1,0,0,0,0,0,0,0,0,0,3,51,91,78,18,19,62,131,178,275,230,243,346,335,158,48,25,7,1,0,0,0,0,0,0,0
1989,1,10,0,0,111,0,0,0,0,0,0,0,0,0,2,11,81,117,82,67,48,43,32,47,45,19,26,77,88,112,58,32,10,1,0,0,0,0,0,0,0,0
1990,1,10,0,0,113,0,8,0,0,0,0,0,0,1,9,25,64,61,65,74,68,50,68,92,81,72,64,84,91,81,87,103,34,11,4,0,0,0,0,0,0,0
1991,1,10,0,0,113,0,11,62,9,0,0,0,0,1,23,48,79,67,55,27,48,117,234,184,103,225,551,674,522,553,430,249,97,12,1,0,0,0,0,0,0,0
1992,1,10,0,0,111,1,0,1,0,0,0,0,0,7,43,105,239,587,516,276,580,689,526,414,328,395,424,386,220,141,62,46,21,13,0,0,0,0,0,0,0,0
1993,1,10,0,0,112,17,47,4,0,0,0,0,0,0,15,69,139,218,201,403,526,728,899,487,407,1196,2044,1356,771,330,390,154,83,1,0,0,0,1,0,0,0,0
1994,1,10,0,0,112,1,1,0,0,0,0,0,0,7,16,168,200,123,123,211,213,309,260,127,378,978,1609,1845,1283,624,464,148,54,1,0,0,0,0,0,0,0,0
1995,1,10,0,0,111,0,0,0,0,0,0,0,0,0,0,0,3,15,36,24,44,122,324,235,214,186,397,587,645,354,176,63,18,0,0,0,0,0,0,0,0,0
1996,1,10,0,0,109,0,0,0,0,0,0,0,0,0,26,823,2117,2314,1169,338,98,95,209,113,169,145,161,237,318,256,122,39,23,5,1,0,0,0,0,0,0,0
1997,1,10,0,0,113,0,0,2,0,0,0,0,0,0,0,4,24,54,81,368,645,719,1075,1033,662,482,277,305,469,302,118,14,8,0,0,0,0,0,0,0,0,0
1998,1,10,0,0,117,0,0,0,0,0,0,0,0,0,0,31,102,147,104,89,162,362,680,633,1466,2553,1154,219,159,203,78,26,7,2,0,0,0,0,0,0,0,0
1999,1,10,0,0,114,0,0,0,2,0,1,0,0,0,0,0,5,43,78,76,102,292,756,649,786,2742,5329,1712,573,411,150,8,4,0,0,0,0,0,0,0,0,0
2000,1,10,0,0,114,0,0,0,0,14,2,0,0,5,8,206,676,823,594,677,332,110,40,70,162,278,432,508,253,69,23,29,6,2,0,0,0,0,0,0,0,0
2001,1,10,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,35,111,187,136,272,670,1189,1150,551,319,389,518,276,77,17,2,0,0,0,0,0,0,0,0,0
2002,1,10,0,0,113,0,0,0,51,866,1741,468,107,16,0,1,5,3,3,3,5,7,45,65,314,962,1090,550,281,226,105,22,5,0,0,0,0,0,0,0,0,0
2003,1,10,0,0,109,0,0,39,359,249,0,0,0,0,0,2,34,74,98,69,112,145,154,199,86,127,673,1100,611,443,181,33,0,0,0,0,0,0,0,0,0,0
2004,1,10,0,0,114,0,17,8,0,0,0,0,0,0,4,58,235,700,557,355,342,236,410,226,170,62,45,44,85,73,48,14,3,0,0,0,0,0,0,0,0,0
2005,1,10,0,0,113,0,14,24,18,6,0,0,0,0,6,29,28,38,33,218,532,700,799,308,119,84,82,40,57,77,101,12,3,0,0,0,0,0,0,0,0,0
