SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,METRIC,MIN,MAX,AVG,PARTIAL_AVG,TS_MEAN
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1963,Day of the year,317,349,332.27,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1964,Day of the year,296,339,314.48,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1965,Day of the year,279,313,295.22,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1966,Day of the year,285,317,300.81,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1967,Day of the year,290,343,321.85,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1968,Day of the year,284,330,308.88,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1969,Day of the year,281,327,308.35,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1970,Day of the year,288,324,305.74,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1971,Day of the year,272,323,297.56,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1972,Day of the year,272,324,300.45,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1973,Day of the year,269,323,297.9,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1974,Day of the year,266,314,290.07,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1975,Day of the year,280,322,292.36,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1976,Day of the year,272,327,304.83,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1977,Day of the year,269,349,310.49,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1978,Day of the year,269,325,296.08,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1979,Day of the year,275,322,302.9,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1980,Day of the year,280,319,299.08,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1981,Day of the year,278,346,297.71,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1982,Day of the year,277,313,295.95,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1983,Day of the year,272,313,293.72,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1984,Day of the year,270,311,289.43,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1985,Day of the year,288,319,299.46,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1986,Day of the year,274,309,293.64,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1987,Day of the year,272,309,286.42,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1988,Day of the year,268,301,286.95,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1989,Day of the year,263,306,288.36,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1990,Day of the year,267,297,282.55,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1991,Day of the year,266,297,281.03,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1992,Day of the year,266,301,285.88,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1993,Day of the year,263,298,279.74,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1994,Day of the year,270,299,283.91,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1995,Day of the year,262,297,280.13,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1996,Day of the year,267,301,283.14,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1997,Day of the year,263,300,285.63,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1998,Day of the year,278,310,293.88,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,1999,Day of the year,278,314,297.03,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2000,Day of the year,259,294,277.99,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2001,Day of the year,260,295,278.71,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2002,Day of the year,266,297,283.38,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2003,Day of the year,250,304,282.45,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2004,Day of the year,269,301,285.22,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2005,Day of the year,257,308,287.75,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2006,Day of the year,262,298,278.15,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2007,Day of the year,270,304,285.6,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2008,Day of the year,259,313,286.8,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2009,Day of the year,271,321,300.48,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2010,Day of the year,271,336,302.27,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2011,Day of the year,269,318,292.51,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2012,Day of the year,268,315,289.41,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2013,Day of the year,260,321,298.34,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2014,Day of the year,266,315,293.3,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2015,Day of the year,258,309,285.4,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2016,Day of the year,272,314,292.46,,294
161722,UNIT,NONE,10,NMFS fall BTS,FALL,2017,Day of the year,293,322,305.76,,294
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1968,Day of the year,66,134,85.99,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1969,Day of the year,64,100,80.66,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1970,Day of the year,71,119,98.95,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1971,Day of the year,68,119,89.31,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1972,Day of the year,68,115,88.65,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1973,Day of the year,75,134,98.39,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1974,Day of the year,72,124,97.81,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1975,Day of the year,63,131,98.21,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1976,Day of the year,64,128,89.57,,95.2
161722,UNIT,NONE,10,NMFS spring BTS,SPRING,1977,Day of the year,78,139,108.7,,95.2
